date,ypos,Brand,Sub_Category,Description,group
10/5,45,Agnes B,tee,Signature graphic,Knit Tops
10/5,7,Madewell,jeans,Straight-leg,Jeans
10/6,49,Flat File,tee,Matisse graphic,Knit Tops
10/6,11,Madewell,jeans,Wide-leg button-fly,Jeans
10/7,8,Madewell,jeans,Skinny,Jeans
10/7,27,Madewell,shirt,Check flannel,Woven Tops
10/7,4,Madewell,jacket,Houndstooth sweater,Jackets
10/8,15,Agolde,jeans,High-waisted wide-leg,Jeans
10/8,5,Aritzia,tee,Long-sleeved raglan,Knit Tops
10/8,7,J. Crew,jacket,Denim,Jackets
10/8,9,,shawl,Houndstooth blanket,Jackets
10/9,7,Madewell,jeans,Straight-leg,Jeans
10/9,34,,shirt,Striped,Woven Tops
10/9,9,,shawl,Houndstooth blanket,Jackets
10/10,11,Madewell,jeans,Wide-leg button-fly,Jeans
10/10,8,Topshop,tee,Matelasse mock-neck,Knit Tops
10/10,3,Closed,jacket,Leather motorcycle,Jackets
10/11,25,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits
10/12,16,Madewell,jeans,High-waisted wide-leg,Jeans
10/12,51,Leset,top,Long-sleeved wrap,Knit Tops
10/12,9,,shawl,Houndstooth blanket,Jackets
10/13,16,Madewell,jeans,High-waisted wide-leg,Jeans
10/13,39,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
10/14,17,The Reformation,jeans,Saddle,Jeans
10/14,1,Express,tee,Long-sleeved crew-neck,Knit Tops
10/15,8,Madewell,jeans,Skinny,Jeans
10/15,48,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
10/16,16,Madewell,jeans,High-waisted wide-leg,Jeans
10/16,44,H & M,tank,Ribbed halter,Knit Tops
10/16,13,Loft,tee,Cardigan,Knit Tops
10/17,7,Madewell,jeans,Straight-leg,Jeans
10/17,34,,shirt,Striped,Woven Tops
10/17,10,Aritzia,coat,Wool plaid,Coats
10/18,11,Madewell,jeans,Wide-leg button-fly,Jeans
10/18,47,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
10/18,6,J. Crew,jacket,Quilted,Jackets
10/19,15,Agolde,jeans,Wide-leg,Jeans
10/19,36,Sezane,sweater,Color-block,Sweaters & Sweatshirts
10/20,17,The Reformation,jeans,Saddle,Jeans
10/20,51,Leset,top,Long-sleeved wrap,Knit Tops
10/20,4,Madewell,jacket,Houndstooth sweater,Jackets
10/21,4,Anthropologie,pants,Plaid corduroy,Pants
10/21,5,Aritzia,tee,Long-sleeved raglan,Knit Tops
10/21,4,Madewell,jacket,Houndstooth sweater,Jackets
10/22,16,Madewell,jeans,High-waisted wide-leg,Jeans
10/22,39,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
10/23,8,Madewell,jeans,Skinny,Jeans
10/23,48,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
10/24,11,Madewell,jeans,Wide-leg button-fly,Jeans
10/24,47,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
10/25,25,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits
10/25,8,,jacket,Yak-wool long,Jackets
10/26,17,The Reformation,jeans,Saddle,Jeans
10/26,43,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
10/27,7,Madewell,jeans,Straight-leg,Jeans
10/27,8,,jacket,Yak-wool long,Jackets
10/27,29,Madewell,bodysuit,Velvet wrap,Bodysuits
10/28,16,Madewell,jeans,High-waisted wide-leg,Jeans
10/28,51,Leset,top,Long-sleeved wrap,Knit Tops
10/28,9,,shawl,Houndstooth blanket,Jackets
10/29,8,Madewell,jeans,Skinny,Jeans
10/29,34,,shirt,Striped,Woven Tops
10/29,4,Madewell,jacket,Houndstooth sweater,Jackets
10/30,17,The Reformation,jeans,Saddle,Jeans
10/30,44,H & M,tank,Ribbed halter,Knit Tops
10/30,13,Loft,tee,Cardigan,Knit Tops
10/31,16,Madewell,jeans,High-waisted wide-leg,Jeans
10/31,39,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
10/31,10,Aritzia,coat,Wool plaid,Coats
11/1,11,Madewell,jeans,Wide-leg button-fly,Jeans
11/1,47,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
11/2,8,Madewell,jeans,Skinny,Jeans
11/2,48,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
11/3,16,Madewell,jeans,High-waisted wide-leg,Jeans
11/3,20,Madewell,sweatshirt,Quilted,Sweaters & Sweatshirts
11/3,10,Aritzia,coat,Wool plaid,Coats
11/4,7,Madewell,jeans,Straight-leg,Jeans
11/4,49,Flat File,tee,Matisse graphic,Knit Tops
11/4,10,Aritzia,coat,Wool plaid,Coats
11/5,17,The Reformation,jeans,Saddle,Jeans
11/5,34,,shirt,Striped,Woven Tops
11/5,10,Aritzia,coat,Wool plaid,Coats
11/6,16,Madewell,jeans,High-waisted wide-leg,Jeans
11/6,51,Leset,top,Long-sleeved wrap,Knit Tops