crop,indemnities,policies,parent
Corn,47450098935,12731622,Origin
Soybeans,20518928909,11903271,Origin
Wheat,20469556404,7951480,Origin
Cotton,15092624262,2185177,Origin
Grain Sorghum,3010504799,3959461,Origin
Miscellaneous Crops,2328615319,504112,Origin
"Pasture, Rangeland, Forage",2037074765,258890,Origin
Flue Cured Tobacco,1885983343,223708,Origin
Rice,1512860362,427705,Origin
Peanuts,1341903369,534572,Origin
Sunflowers,1340389741,1528408,Origin
Apples,1110871818,77092,Origin
Dry Beans,1044512562,667582,Origin
Potatoes,1016282824,111832,Origin
Burley Tobacco,1007237119,341572,Origin
Sugar Beets,900338822,321806,Origin
Barley,894052655,1472934,Origin
Canola,836795269,414548,Origin
Nursery (FG&C),636608444,37551,Origin
Cherries,619061404,37926,Origin
Forage Production,604322871,504217,Origin
Dry Peas,571015881,325736,Origin
Almonds,549784513,88303,Origin
Cotton Ex Long Staple,504748559,31843,Origin
Grapes,489792360,149506,Origin
Onions,468778806,29501,Origin
Whole Farm Revenue Protection,446213678,7950,Origin
Prunes,285853054,19213,Origin
Fresh Market Tomatoes,273821992,11829,Origin
Pistachios,265010831,4387,Origin
Pecans,243717551,22201,Origin
Hybrid Corn Seed,241689723,179434,Origin
Peaches,200801486,18427,Origin
Tobacco,183918376,235148,Origin
Adjusted Gross Revenue,181340311,7186,Origin
Navel Oranges,159343260,33041,Origin
Tomatoes,145641085,32476,Origin
Oats,145140429,1338102,Origin
Blueberries,143585795,14105,Origin
Annual Forage,143391754,19369,Origin
Green Peas,135491695,113915,Origin
Orange Trees,128418413,54772,Origin
Flax,125789675,385821,Origin
Table Grapes,125249760,12606,Origin
Rangeland,108488712,24642,Origin
Popcorn,107576306,107568,Origin
Apiculture,102065050,9468,Origin
Cigar Binder Tobacco,101416883,9191,Origin
Oranges,98197650,23475,Origin
Avocados,93081499,23690,Origin
Peppers,93040561,2897,Origin
Millet,90529960,217718,Origin
Forage Seeding,89583144,257430,Origin
Sweet Corn,78023570,103345,Origin
Citrus VII,73150397,15489,Origin
Fire Cured Tobacco,72002694,30393,Origin
Valencia Oranges,67780425,21362,Origin
Processing Beans,63981662,43200,Origin
Sugarcane,54460039,25316,Origin
Sweetpotatoes,54023528,4154,Origin
Alfalfa Seed,53967304,2941,Origin
Watermelons,51082634,505,Origin
Citrus II,50081353,26896,Origin
Revenue Coverage Corn,43196298,53085,Origin
Fresh Market Sweet Corn,42667418,12867,Origin
Dark Air Tobacco,39703660,20443,Origin
Mandarins,36083634,3010,Origin
Grapefruit,35900696,6584,Origin
Cranberries,35506485,12936,Origin
Nursery (container),35337313,7061,Origin
Mandarines/Tangerines,35152533,4114,Origin
Lemons,34612596,15288,Origin
Plums,33875268,11090,Origin
Olives,33670309,3696,Origin
Pears,33350484,19450,Origin
Adjusted Gross Revenue-lite,33283439,3017,Origin
Citrus I,32572340,33662,Origin
Grapefruit Trees,32120095,14979,Origin
Raisins,31823009,49647,Origin
Silage Sorghum,31503433,72879,Origin
Walnuts,29720553,29501,Origin
Fresh Market Beans,29593350,1395,Origin
Safflower,26844570,85489,Origin
Cabbage,26183965,4438,Origin
Clams,26079068,4395,Origin
Cigar Wrapper Tobacco,25790006,500,Origin
Hybrid Sorghum Seed,25665707,55165,Origin
Fresh Nectarines,21199813,10168,Origin
Mustard,21128649,48092,Origin
Processing Cling Peaches,20103509,8810,Origin
Fresh Apricots,19001443,3407,Origin
Citrus V,17632772,5768,Origin
Processing Apricots,14493561,1477,Origin
Strawberries,14407218,2002,Origin
Macadamia Nuts,11846724,655,Origin
Sesame,11528024,41461,Origin
Fresh Freestone Peaches,10417217,10110,Origin
Revenue Coverage Soybeans,10277807,39282,Origin
Processing Cucumbers,9903016,1681,Origin
Citrus IV,9424251,12368,Origin
Mint,9364620,2034,Origin
Stonefruit,9160740,2476,Origin
Cultivated Wild Rice,8912224,1192,Origin
Avocado Trees,8592769,4218,Origin
Fresh Plum,8142443,2529,Origin
ciin_0080,7712421,349,Origin
Rye,7503828,18809,Origin
All Other Citrus Trees,7465213,13360,Origin
Minneola Tangelos,7446074,2750,Origin
Pumpkins,7322123,2151,Origin
Cucumbers,7068142,1238,Origin
Rio Red & Star Ruby,6515811,6196,Origin
GRP Corn,6234165,10251,Origin
Lime Trees,5903500,427,Origin
Tangors,4397852,1012,Origin
Figs,4244889,1056,Origin
Clary Sage,3965612,429,Origin
Sweet Potatoes,3321667,279,Origin
Citrus,3235473,14043,Origin
Tangelos,2725186,1961,Origin
Coffee,2660577,736,Origin
Grass Seed,1840849,1174,Origin
Buckwheat,1832682,3608,Origin
Processing Freestone,1818957,1935,Origin
GRP Soybeans,1426108,6311,Origin
Chile Peppers,1355237,926,Origin
Early & Midseason Oranges,1184741,4514,Origin
Winter Squash,1085014,1090,Origin
Lemons,1065169,69,Origin
Income Protection Wheat,715378,476,Origin
ciin_0093,681510,75,Origin
Citrus Trees IV,582946,5914,Origin
Macadamia Trees,541478,740,Origin
ciin_0158,472450,1375,Origin
Lemon Trees,409745,19,Origin
Ruby Red Grapefruit,396723,1939,Origin
Sweet Oranges,382950,747,Origin
Papaya,362866,72,Origin
Income Protection Cotton,298362,83,Origin
Late Oranges,286613,1123,Origin
GRP Forage Production,228770,7381,Origin
Maryland Tobacco,227057,419,Origin
Mango Trees,225101,677,Origin
Papaya Tree,220210,90,Origin
Crambe,211147,2177,Origin
Citrus III,174767,1284,Origin
Income Protection Corn,155230,1059,Origin
Orlando Tangelos,112812,116,Origin
Citrus VIII,107133,1629,Origin
Carambola Trees,91165,310,Origin
Citrus Trees I,66811,4650,Origin
Grp Wheat,65194,118,Origin
Raspberry And Blackberry,63391,148,Origin
Cigar Filler Tobacco,45870,439,Origin
Citrus Trees II,21246,1073,Origin
Citrus Trees,12371,2106,Origin
GRP Peanuts,8499,10,Origin
All Other Grapefruit,4528,64,Origin
Banana,2452,32,Origin
Citrus Trees V,361,1957,Origin
Citrus Trees III,161,110,Origin
GRP Cotton,0,4,Origin
GRP Grain Sorghum,0,10,Origin
Tangerine Trees,0,65,Origin
Kinnow Mandarins,0,13,Origin
Coffee Tree,0,273,Origin
Camelina,0,290,Origin
ciin_6000,0,7,Origin